	name2	chrom	cdsStart	cdsEnd
9352	AL139246.5	chr1	2530064	2547460
9358	TNFRSF14-AS1	chr1	2549920	2557031
9384	TNFRSF14	chr1	2555639	2565382
9550	AL139246.3	chr1	2581560	2584533
9555	PRXL2B	chr1	2586491	2591469
9739	MMEL1	chr1	2590639	2633016
9915	AL831784.1	chr1	2632568	2636620
9919	TTC34	chr1	2635976	2801717
9962	AC242022.2	chr1	2768091	2784733
9967	AC242022.1	chr1	2773603	2776473
9979	AL592464.2	chr1	2811850	2812692
9983	AL592464.3	chr1	2814056	2817767
9987	AL592464.1	chr1	2814432	2814998
9991	AL589702.1	chr1	2960658	2968707
10000	ACTRT2	chr1	3021467	3022903
10008	PRDM16-DT	chr1	3059615	3068437
10052	PRDM16	chr1	3069168	3438621
10272	AL008733.1	chr1	3132927	3133709
10276	AL590438.1	chr1	3306636	3310096
10279	AL354743.2	chr1	3313052	3323149
10283	AL354743.1	chr1	3367815	3373928
10287	ARHGEF16	chr1	3454665	3481113
10420	AL512413.1	chr1	3487246	3487627
10423	MEGF6	chr1	3487951	3611508
10676	AL513320.1	chr1	3623190	3624743
10681	TPRG1L	chr1	3625015	3630127
10710	WRAP73	chr1	3630767	3652761
10841	TP73	chr1	3652516	3736201
11174	AL136528.1	chr1	3658938	3668772
11179	AL136528.2	chr1	3712200	3714298
11183	CCDC27	chr1	3746460	3771645
11249	SMIM1	chr1	3772761	3775982
11292	LRRC47	chr1	3778559	3796498
11330	AL365330.1	chr1	3785008	3785538
11333	CEP104	chr1	3812086	3857214
11489	DFFB	chr1	3857267	3885429
11684	C1orf174	chr1	3889125	3900293
11708	LINC01134	chr1	3900352	3917225
11724	LINC01346	chr1	3940486	3955262
11740	LINC01345	chr1	3944547	3949024
11760	LINC02780	chr1	3976133	4012704
11777	AL805961.1	chr1	4012921	4019508
11781	LINC01777	chr1	4412027	4424689
11857	AL355602.1	chr1	4479131	4484375
11861	Z98747.1	chr1	4551735	4552145
11865	LINC01646	chr1	4571481	4594016
11901	AJAP1	chr1	4654609	4792534
11939	Z98886.1	chr1	4730211	4734992
11946	BX005132.1	chr1	4963954	4973298
11951	LINC02781	chr1	4973381	4981568
11958	LINC02782	chr1	5086459	5090899
11964	AL139823.1	chr1	5301928	5307394
11970	Z98259.3	chr1	5478736	5493057
11984	Z98259.2	chr1	5480787	5482028
11988	Z98259.1	chr1	5492978	5494674
11991	AL365255.1	chr1	5561709	5668295
11999	NPHP4	chr1	5862811	5992473
12300	KCNAB2	chr1	5990927	6101193
13296	CHD5	chr1	6101787	6180321
13592	RPL22	chr1	6185020	6209389
13671	AL031847.1	chr1	6204840	6205780
13676	RNF207	chr1	6205475	6221299
13761	ICMT	chr1	6221193	6235972
13811	LINC00337	chr1	6234692	6239444
13826	HES3	chr1	6244179	6245578
13840	GPR153	chr1	6247353	6261098
13858	ACOT7	chr1	6264269	6394391
14070	AL031848.2	chr1	6393555	6394391
14073	HES2	chr1	6412418	6424670
14136	ESPN	chr1	6424776	6461367
14364	AL031848.1	chr1	6443034	6447006
14369	TNFRSF25	chr1	6460786	6466195
14683	PLEKHG5	chr1	6466092	6520061
15242	NOL9	chr1	6521347	6554513
15287	TAS1R1	chr1	6555307	6579755
15338	ZBTB48	chr1	6579994	6589280
15431	KLHL21	chr1	6590724	6614607
15501	PHF13	chr1	6613731	6624030
15518	THAP3	chr1	6624866	6635586
15603	DNAJC11	chr1	6634168	6701924
15759	LINC01672	chr1	6724637	6730012
15780	AL591163.1	chr1	6767954	6770038
15785	CAMTA1-DT	chr1	6783892	6784843
15790	CAMTA1	chr1	6785454	7769706
15995	AL512330.1	chr1	7008376	7014279
15999	CAMTA1-IT1	chr1	7368942	7370270
16003	Z97987.1	chr1	7382487	7389754
16011	AL365194.1	chr1	7441096	7441554
16015	AL359881.3	chr1	7693124	7694844
16018	AL359881.2	chr1	7698303	7698872
16021	AL359881.1	chr1	7700704	7700970
16024	VAMP3	chr1	7771296	7781432
16059	Z98884.2	chr1	7776383	7776775
16062	PER3	chr1	7784320	7845177
16296	Z98884.1	chr1	7810242	7827342
16301	UTS2	chr1	7843083	7853512
16348	TNFRSF9	chr1	7915894	7943165
16415	PARK7	chr1	7954291	7985505
16558	AL034417.4	chr1	7991134	8005312
16569	AL034417.3	chr1	7998187	7999934
16573	ERRFI1	chr1	8004404	8026309
16631	AL034417.2	chr1	8026738	8122702
16636	LINC01714	chr1	8201518	8215210
16653	AL358876.2	chr1	8218190	8220529
16657	SLC45A1	chr1	8317826	8344167
16711	RERE	chr1	8352397	8848921
17088	RERE-AS1	chr1	8424645	8435013
17103	AL357552.2	chr1	8805860	8807051
17107	ENO1	chr1	8861000	8879190
17348	ENO1-AS1	chr1	8878835	8879894
17352	CA6	chr1	8945867	8975092
17445	SLC2A7	chr1	9003300	9026345
17474	SLC2A5	chr1	9035106	9088478
17630	GPR157	chr1	9100305	9129102
17652	MIR34AHG	chr1	9148011	9198906
17664	LNCTAM34A	chr1	9182004	9196284
17690	H6PD	chr1	9234775	9271337
17724	SPSB1	chr1	9292894	9369532
17763	BX323043.1	chr1	9421098	9422862
17766	LINC02606	chr1	9425094	9440564
17776	AL928921.1	chr1	9501092	9503471
17780	SLC25A33	chr1	9539465	9585173
17800	TMEM201	chr1	9588911	9614877
17882	PIK3CD	chr1	9651731	9729114
18159	PIK3CD-AS1	chr1	9652610	9654586
18163	PIK3CD-AS2	chr1	9672426	9687555
18168	CLSTN1	chr1	9729026	9824526
18333	CTNNBIP1	chr1	9848276	9910336
18396	AL357140.1	chr1	9848318	9850154
18401	AL357140.4	chr1	9900614	9908034
18406	LZIC	chr1	9922113	9943407
18484	AL357140.2	chr1	9942923	9949974
18488	NMNAT1	chr1	9943428	9985501
18546	AL603962.1	chr1	9983141	9984568
18550	RBP7	chr1	9997206	10016021
18579	UBE4B	chr1	10032832	10181239
18823	KIF1B	chr1	10210805	10381603
19473	AL139424.3	chr1	10381906	10387150
19483	AL139424.2	chr1	10395416	10397432
19496	PGD	chr1	10398592	10420511
19617	AL139424.1	chr1	10429881	10430677
19620	CENPS	chr1	10430433	10442808
19669	CORT	chr1	10449719	10451902
19679	DFFA	chr1	10456522	10472529
19727	AL354956.1	chr1	10458555	10459338
19731	PEX14	chr1	10472288	10630758
19778	AL139423.2	chr1	10612222	10616452
19782	CASZ1	chr1	10636604	10796650
19902	AL139423.1	chr1	10639241	10654333
19906	C1orf127	chr1	10946471	10982037
19993	TARDBP	chr1	11012344	11026420
20391	MASP2	chr1	11026523	11047239
20441	AL109811.2	chr1	11029659	11030528
20447	SRM	chr1	11054584	11060020
20510	EXOSC10	chr1	11066618	11099869
20676	AL109811.1	chr1	11068471	11073097
20680	EXOSC10-AS1	chr1	11099675	11102100
20687	MTOR	chr1	11106535	11262551
20895	MTOR-AS1	chr1	11143898	11149537
20906	ANGPTL7	chr1	11189355	11195981
20926	UBIAD1	chr1	11273206	11296049
20967	AL031291.1	chr1	11311734	11319093
20973	DISP3	chr1	11479155	11537551
21039	AL590989.1	chr1	11500803	11502016
21043	LINC01647	chr1	11609468	11613358
21048	AL031731.1	chr1	11623558	11643416
21052	FBXO2	chr1	11637018	11655785
21106	FBXO44	chr1	11654375	11663327
21248	FBXO6	chr1	11664200	11674354
21282	MAD2L2	chr1	11674480	11691650
21444	DRAXIN	chr1	11691710	11725857
21464	AGTRAP	chr1	11736084	11754802
21622	C1orf167	chr1	11761787	11789585
21762	AL953897.1	chr1	11777077	11779619
21767	MTHFR	chr1	11785723	11806920
22095	CLCN6	chr1	11806096	11848079
22358	NPPA	chr1	11845709	11848345
22394	NPPB	chr1	11857464	11858945
22406	AL021155.5	chr1	11907940	11914298
22425	KIAA2013	chr1	11919591	11926428
22459	PLOD1	chr1	11934205	11975538
22572	AL096840.2	chr1	11979533	11980127
22575	MFN2	chr1	11980181	12013514
22685	MIIP	chr1	12019466	12032045
22745	TNFRSF8	chr1	12063303	12144207
22867	AL357835.1	chr1	12088441	12092264
22873	TNFRSF1B	chr1	12166991	12209228
22928	VPS13D	chr1	12230030	12512047
23574	LINC02766	chr1	12527724	12528420
23578	DHRS3	chr1	12567910	12618210
23621	AC254633.1	chr1	12618900	12619244
23624	AADACL4	chr1	12644547	12667086
23637	AADACL3	chr1	12716110	12728760
23655	C1orf158	chr1	12746200	12763699
23683	PRAMEF12	chr1	12774841	12777906
23695	PRAMEF1	chr1	12791397	12796628
23712	LINC01784	chr1	12822686	12823159
23716	PRAMEF11	chr1	12824605	12831410
23730	HNRNPCL1	chr1	12847408	12848725
23740	PRAMEF2	chr1	12857086	12861909
23754	PRAMEF4	chr1	12879212	12886201
23768	PRAMEF10	chr1	12892896	12898270
23782	PRAMEF7	chr1	12916610	12920482
23806	PRAMEF6	chr1	12938472	12947580
23833	PRAMEF27	chr1	13049476	13056491
23847	HNRNPCL3	chr1	13060869	13062229
23857	PRAMEF25	chr1	13068677	13077884
23884	HNRNPCL2	chr1	13115488	13116854
23894	AC245056.1	chr1	13146981	13147460
23898	PRAMEF26	chr1	13148905	13155961
23912	HNRNPCL4	chr1	13164586	13165467
23919	PRAMEF9	chr1	13172455	13179464
23933	PRAMEF13	chr1	13196188	13201409
23956	PRAMEF18	chr1	13222705	13226106
23967	PRAMEF5	chr1	13254212	13263314
23981	PRAMEF8	chr1	13281035	13285174
24018	PRAMEF33	chr1	13303539	13308907
24032	PRAMEF15	chr1	13315581	13322598
24046	AC243961.1	chr1	13324039	13324518
24050	PRAMEF14	chr1	13341892	13347134
24067	PRAMEF19	chr1	13369067	13371900
24078	PRAMEF17	chr1	13389632	13392629
24090	PRAMEF20	chr1	13410450	13421328
24115	LRRC38	chr1	13474973	13514003
24125	AL354712.1	chr1	13513220	13516270
24130	PDPN	chr1	13583465	13617957
24325	AL359771.1	chr1	13657311	13659910
24329	PRDM2	chr1	13700198	13825079
24519	KAZN	chr1	13892792	15118043
24712	AL357873.1	chr1	14221887	14304445
24722	KAZN-AS1	chr1	14338825	14419973
24761	AL031293.1	chr1	14774469	14777727
24765	TMEM51-AS1	chr1	15111815	15153618
24795	TMEM51	chr1	15152532	15220478
24866	C1orf195	chr1	15164344	15171317
24873	FHAD1	chr1	15247272	15400283
25278	AL031283.2	chr1	15326680	15343876
25282	AL031283.3	chr1	15334166	15335464
25286	AL031283.1	chr1	15402979	15409433
25295	EFHD2	chr1	15409888	15430339
25322	CTRC	chr1	15438442	15449242
25370	CELA2A	chr1	15456728	15472091
25400	CELA2B	chr1	15465909	15491395
25442	CASP9	chr1	15490832	15526534
25624	DNAJC16	chr1	15526813	15592379
25831	AL121992.3	chr1	15565611	15565956
25834	AGMAT	chr1	15571699	15585051
25854	AL121992.1	chr1	15586136	15603626
25858	DDI2	chr1	15617458	15669044
25925	RSC1A1	chr1	15659869	15661722
25932	AL121992.2	chr1	15682873	15683128
25935	PLEKHM2	chr1	15684320	15734769
26085	AL450998.3	chr1	15720312	15736896
26101	SLC25A34	chr1	15736258	15741392
26125	SLC25A34-AS1	chr1	15740051	15749896
26129	TMEM82	chr1	15742499	15747982
26151	FBLIM1	chr1	15756607	15786594
26340	UQCRHL	chr1	15807169	15809348
26348	AL450998.2	chr1	15834474	15848147
26352	SPEN	chr1	15847707	15940456
26420	ZBTB17	chr1	15941869	15976132
26601	SRARP	chr1	16004236	16008807
26611	AL355994.3	chr1	16006160	16006671
26615	HSPB7	chr1	16014028	16019594
26685	CLCNKA	chr1	16018875	16034050
26866	CLCNKB	chr1	16043736	16057308
26989	FAM131C	chr1	16057769	16073651
27016	EPHA2	chr1	16124337	16156069
27069	AL451042.2	chr1	16155211	16157329
27073	AL451042.1	chr1	16159266	16161883
27077	ARHGEF19-AS1	chr1	16197854	16198357
27081	ARHGEF19	chr1	16197854	16212652
27161	AL109627.1	chr1	16228674	16231335
27164	CPLANE2	chr1	16231692	16237183
27189	FBXO42	chr1	16246840	16352480
27239	SZRD1	chr1	16352575	16398145
27327	SPATA21	chr1	16387117	16437424
27444	NECAP2	chr1	16440721	16460078
27621	LINC01772	chr1	16460948	16468481
27625	AL137802.2	chr1	16514645	16515754
27628	AL137802.1	chr1	16520694	16521796
27632	LINC01783	chr1	16533886	16536172
27639	NBPF1	chr1	16562319	16613562
27822	AL137798.1	chr1	16617391	16617729
27825	AL137798.2	chr1	16656879	16667524
27830	AL021920.1	chr1	16701546	16705594
27835	AL021920.3	chr1	16739938	16750589
27840	CROCC	chr1	16740273	16972964
28070	BX284668.1	chr1	16851257	16853129
28080	BX284668.2	chr1	16870945	16883659
28111	BX284668.5	chr1	16887577	16889706
28132	BX284668.6	chr1	16904339	16904776
28135	MFAP2	chr1	16974502	16980632
28205	AL049569.2	chr1	16976302	16977792
28209	AL049569.1	chr1	16978926	17005091
28213	ATP13A2	chr1	16985958	17011928
28570	SDHB	chr1	17018722	17054170
28644	PADI2	chr1	17066761	17119451
28722	LINC02783	chr1	17189783	17197617
28732	AL590644.1	chr1	17193232	17201733
28739	PADI1	chr1	17205128	17246007
28789	PADI3	chr1	17249098	17284233
28827	PADI4	chr1	17308195	17364004
28892	PADI6	chr1	17372196	17401699
28930	RCC2-AS1	chr1	17406760	17407382
28934	RCC2	chr1	17406760	17439677
28998	ARHGEF10L	chr1	17539698	17697874
29238	LINC02810	chr1	17717625	17749978
29257	ACTL8	chr1	17755333	17827063
29278	AL357509.1	chr1	18015712	18045612
29284	LINC01654	chr1	18065657	18074412
29289	IGSF21	chr1	18107798	18378483
29332	IGSF21-AS1	chr1	18166929	18179346
29338	AL591896.1	chr1	18385829	18388514
29342	KLHDC7A	chr1	18480982	18486126
29349	PAX7	chr1	18630846	18748866
29415	TAS1R2	chr1	18839599	18859682
29433	ALDH4A1	chr1	18871430	18902724
29594	IFFO2	chr1	18904280	18956676
29646	AL137127.1	chr1	19072110	19075511
29649	UBR4	chr1	19074510	19210266
30142	EMC1-AS1	chr1	19210501	19240704
30146	EMC1	chr1	19215660	19251527
30371	MRTO4	chr1	19251805	19260128
30401	AKR7A3	chr1	19282573	19288770
30421	AKR7A2	chr1	19303965	19312146
30486	SLC66A1	chr1	19312326	19329300
30607	CAPZB	chr1	19338775	19485539
30746	MICOS10	chr1	19484403	19629821
30824	AL031727.2	chr1	19591802	19596832
30828	NBL1	chr1	19596979	19658456
30997	HTR6	chr1	19664875	19680966
31009	TMCO4	chr1	19682213	19799945
31122	RNF186	chr1	19814029	19815283
31130	AL391883.1	chr1	19814367	19819502
31134	OTUD3	chr1	19882395	19912945
31163	PLA2G2E	chr1	19920009	19923617
31177	PLA2G2A	chr1	19975431	19980416
31252	PLA2G5	chr1	20028179	20091911
31326	PLA2G2D	chr1	20111939	20119566
31351	PLA2G2F	chr1	20139326	20150386
31370	Z98257.1	chr1	20154171	20160568
31383	PLA2G2C	chr1	20161253	20177424
31410	UBXN10-AS1	chr1	20184242	20186486
31414	UBXN10	chr1	20186096	20196050
31424	LINC01757	chr1	20243095	20244664
31432	Z98257.2	chr1	20272018	20275005
31440	VWA5B1	chr1	20290919	20354894
31681	AL020998.1	chr1	20294211	20323187
31685	LINC01141	chr1	20360579	20431234
31771	AL139254.1	chr1	20412304	20413253
31776	AL139254.2	chr1	20476222	20478937
31783	AL139254.3	chr1	20478779	20480397
31787	CAMK2N1	chr1	20482391	20486210
31800	MUL1	chr1	20499448	20508151
31814	FAM43B	chr1	20552573	20555020
31822	CDA	chr1	20589086	20618903
31840	PINK1	chr1	20633458	20651511
31873	PINK1-AS	chr1	20642657	20652193
31878	DDOST	chr1	20651767	20661544
31977	KIF17	chr1	20664014	20718017
32120	SH2D5	chr1	20719731	20732837
32230	AL663074.1	chr1	20732880	20733952
32234	HP1BP3	chr1	20742679	20787323
32424	EIF4G3	chr1	20806292	21176888
32892	AL031005.2	chr1	21177054	21178164
32895	ECE1	chr1	21217247	21345572
33214	AL031005.1	chr1	21266082	21267251
33219	AL031728.1	chr1	21293290	21299874
33228	AL592309.2	chr1	21415898	21417492
33237	NBPF3	chr1	21440128	21485005
33514	ALPL	chr1	21509397	21578410
33647	LINC02596	chr1	21586472	21591187
33651	RAP1GAP	chr1	21596215	21669363
34121	USP48	chr1	21678298	21783606
34438	LDLRAD2	chr1	21812265	21825225
34474	HSPG2	chr1	21822244	21937310
34792	CELA3B	chr1	21977022	21998642
34838	CELA3A	chr1	22001657	22012542
34876	LINC01635	chr1	22023990	22026048
34897	LINC00339	chr1	22024558	22031223
34946	CDC42	chr1	22025511	22101360
35130	CDC42-AS1	chr1	22028317	22052927
35135	CDC42-IT1	chr1	22059197	22064199
35139	WNT4	chr1	22117313	22143969
35171	AL445253.1	chr1	22142850	22157401
35178	ZBTB40	chr1	22428838	22531157
35338	ZBTB40-IT1	chr1	22517474	22519708
35342	EPHA8	chr1	22563489	22603595
35397	C1QA	chr1	22636628	22639678
35427	C1QC	chr1	22643633	22648110
35461	C1QB	chr1	22652762	22661637
35504	EPHB2	chr1	22710839	22921500
35683	AL512444.1	chr1	22835713	22836849
35687	LACTBL1	chr1	22953043	22965338
35718	TEX46	chr1	23010834	23015852
35746	KDM1A	chr1	23019443	23083689
35899	AL031428.1	chr1	23020147	23088058
35903	LUZP1	chr1	23084023	23177808
35965	HTR1D	chr1	23191895	23194729
35973	LINC01355	chr1	23281307	23287488
35992	AL109936.6	chr1	23297797	23302866
35996	HNRNPR	chr1	23303771	23344336
36191	ZNF436	chr1	23359448	23369836
36216	ZNF436-AS1	chr1	23368997	23371839
36239	AL109936.2	chr1	23378380	23379029
36242	TCEA3	chr1	23380909	23424748
36335	ASAP3	chr1	23428563	23484568
36634	E2F2	chr1	23506438	23531233
36657	AL021154.1	chr1	23549139	23550915
36661	ID3	chr1	23557926	23559501
36679	AL450043.1	chr1	23576436	23593621
36685	MDS2	chr1	23581495	23640568
36706	RPL11	chr1	23691742	23696835
36784	ELOA-AS1	chr1	23706901	23778296
36807	ELOA	chr1	23743155	23762059
36894	PITHD1	chr1	23778418	23788232
36934	LYPLA2	chr1	23791145	23795539
37100	GALE	chr1	23795599	23800781
37298	HMGCL	chr1	23801885	23838620
37391	FUCA1	chr1	23845077	23868294
37413	CNR2	chr1	23870515	23913362
37423	AL590609.3	chr1	23907111	23907885
37427	PNRC2	chr1	23956839	23963462
37480	SRSF10	chr1	23964347	23980927
37659	AL591178.1	chr1	24040835	24086799
37665	MYOM3	chr1	24056035	24112135
37788	AL591178.2	chr1	24066774	24083565
37793	IL22RA1	chr1	24119771	24143140
37813	IFNLR1	chr1	24154168	24187959
37897	LINC02800	chr1	24200240	24211693
37902	AL138902.1	chr1	24307556	24321901
37909	GRHL3	chr1	24319322	24364482
38116	STPG1	chr1	24356999	24416934
38240	NIPAL3	chr1	24415802	24472976
38371	RCAN3AS	chr1	24496254	24535400
38392	RCAN3	chr1	24502351	24541040
38531	NCMAP-DT	chr1	24538802	24556024
38536	NCMAP	chr1	24556087	24609328
38555	SRRM1	chr1	24631716	24673281
38843	AL445648.1	chr1	24704894	24717596
38849	CLIC4	chr1	24745382	24844321
38896	RUNX3	chr1	24899511	24965121
38958	AL445471.1	chr1	24961345	24963097
38963	AL445471.2	chr1	24968423	24970865
38966	LINC02793	chr1	25041136	25047404
38974	AL050344.1	chr1	25043707	25113120
38982	AL031432.1	chr1	25208139	25209437
38986	SYF2	chr1	25222276	25232502
39029	AL031432.4	chr1	25232586	25234775
39032	AL031432.5	chr1	25239494	25240253
39035	RSRP1	chr1	25242249	25338213
39193	AL031432.3	chr1	25247837	25248321
39196	RHD	chr1	25272393	25330445
39415	TMEM50A	chr1	25338317	25362361
39465	RHCE	chr1	25362249	25430192
39641	MACO1	chr1	25430858	25500209
39723	LDLRAP1	chr1	25543580	25568886
39775	AL606491.1	chr1	25581478	25590356
39779	MAN1C1	chr1	25617468	25786207
39920	AL031280.1	chr1	25644544	25659111
39924	SELENON	chr1	25800176	25818221
40038	AL020996.1	chr1	25816749	25820797
40051	MTFR1L	chr1	25818640	25832942
40382	AL020996.3	chr1	25831913	25832134
40385	AUNIP	chr1	25831913	25859458
40413	AL033528.2	chr1	25859613	25863420
40417	PAQR7	chr1	25861210	25871253
40427	STMN1	chr1	25884181	25906991
40525	PAFAH2	chr1	25959767	25998117
40626	EXTL1	chr1	26019884	26036464
40670	SLC30A2	chr1	26037252	26046118
40715	AL391650.2	chr1	26046665	26049099
40719	TRIM63	chr1	26051304	26068436
40747	PDIK1L	chr1	26111165	26125555
40792	FAM110D	chr1	26159079	26163962
40802	C1orf232	chr1	26164161	26168581
40827	AL391650.1	chr1	26169516	26171831
40880	ZNF593	chr1	26169908	26170873
40901	CNKSR1	chr1	26177484	26189884
41212	CATSPER4	chr1	26190561	26202968
41283	CEP85	chr1	26234200	26278808
41422	SH3BGRL3	chr1	26280086	26281522
41443	UBXN11	chr1	26281328	26318363
41807	CD52	chr1	26317958	26320523
41824	CRYBG2	chr1	26321698	26360080
42029	ZNF683	chr1	26361634	26374522
42151	LIN28A	chr1	26410817	26429728
42180	DHDDS	chr1	26432282	26471306
42492	AL513365.2	chr1	26462756	26468014
42502	HMGN2	chr1	26472440	26476642
42584	RPS6KA1	chr1	26529761	26575030
43013	AL512408.1	chr1	26692132	26694131
43016	ARID1A	chr1	26693236	26782104
43354	PIGV	chr1	26787472	26798398
43423	ZDHHC18	chr1	26826688	26857604
43501	SFN	chr1	26863149	26864456
43509	GPN2	chr1	26876132	26890283
43560	AL034380.1	chr1	26876133	26878245
43564	GPATCH3	chr1	26890488	26900467
43602	NUDC	chr1	26900238	26946871
43659	NR0B2	chr1	26911489	26913975
43669	KDF1	chr1	26949562	26960468
43698	TRNP1	chr1	26993692	27000886
43715	TENT5B	chr1	27005020	27012850
43725	SLC9A1	chr1	27098809	27166981
43799	AL590640.1	chr1	27229106	27234352
43804	WDTC1	chr1	27234632	27308636
43936	TMEM222	chr1	27322145	27336400
44099	SYTL1	chr1	27342020	27353937
44289	MAP3K6	chr1	27354067	27366961
44491	FCN3	chr1	27369112	27374824
44539	CD164L2	chr1	27379176	27383333
44576	GPR3	chr1	27392622	27395814
44586	WASF2	chr1	27404230	27490167
44631	FO393419.2	chr1	27457198	27459582
44635	BX293535.1	chr1	27525805	27530561
44639	AHDC1	chr1	27534035	27604431
44793	FGR	chr1	27612064	27635185
44943	LINC02574	chr1	27660328	27662722
44947	IFI6	chr1	27666064	27672198
44993	AL445490.1	chr1	27669468	27703063
45020	AL020997.5	chr1	27724822	27725756
45023	FAM76A	chr1	27725979	27763122
45167	STX12	chr1	27773219	27824443
45220	AL020997.2	chr1	27773858	27774041
45223	AL020997.3	chr1	27819983	27820341
45226	AL020997.4	chr1	27827812	27831209
45230	PPP1R8	chr1	27830782	27851676
45306	THEMIS2	chr1	27872543	27886685
45415	RPA2	chr1	27891524	27914746
45511	SMPDL3B	chr1	27935000	27959157
45615	AL512288.1	chr1	27938875	27960193
45622	XKR8	chr1	27959462	27968096
45638	EYA3	chr1	27970344	28088637
45861	PTAFR	chr1	28147166	28193936
45891	DNAJC8	chr1	28199456	28233029
45953	ATP5IF1	chr1	28236109	28246906
45996	AL353622.1	chr1	28239509	28241453
45999	AL353622.2	chr1	28247144	28247568
46002	SESN2	chr1	28259518	28282491
